'INIT:control(a)';'INIT:in_hand(a,domino(0,0))';'INIT:in_hand(a,domino(0,1))';'INIT:in_hand(a,domino(1,1))';'INIT:in_hand(a,domino(0,2))';'INIT:in_hand(a,domino(1,2))';'INIT:in_hand(a,domino(2,2))';'INIT:in_hand(a,domino(0,3))';'INIT:in_hand(a,domino(1,3))';'INIT:in_hand(a,domino(2,3))';'INIT:in_hand(a,domino(3,3))';'INIT:control(b)';'INIT:stack(l,0)';'INIT:stack(r,0)';'INIT:stack(l,1)';'INIT:stack(r,1)';'INIT:stack(l,2)';'INIT:stack(r,2)';'INIT:stack(l,3)';'INIT:stack(r,3)';'INIT:in_hand(b,domino(0,0))';'INIT:in_hand(b,domino(0,1))';'INIT:in_hand(b,domino(1,1))';'INIT:in_hand(b,domino(0,2))';'INIT:in_hand(b,domino(1,2))';'INIT:in_hand(b,domino(2,2))';'INIT:in_hand(b,domino(0,3))';'INIT:in_hand(b,domino(1,3))';'INIT:in_hand(b,domino(2,3))';'INIT:in_hand(b,domino(3,3))';plays(domino(1,3),l);plays(domino(1,1),r);plays(domino(1,2),r);plays(domino(1,3),r);plays(domino(0,1),l);plays(domino(1,2),l);plays(domino(0,3),r);plays(domino(3,3),r);plays(domino(0,2),l);plays(domino(2,2),l);plays(domino(0,0),r);plays(domino(1,1),l);plays(domino(0,3),l);plays(domino(2,3),l);plays(domino(0,1),r);plays(domino(0,2),r);plays(domino(2,2),r);plays(domino(2,3),r);pass;plays(domino(3,3),l);plays(domino(0,0),l);'NEXT:control(a)';'NEXT:in_hand(a,domino(0,0))';'NEXT:in_hand(a,domino(0,1))';'NEXT:in_hand(a,domino(1,1))';'NEXT:in_hand(a,domino(0,2))';'NEXT:in_hand(a,domino(1,2))';'NEXT:in_hand(a,domino(2,2))';'NEXT:in_hand(a,domino(0,3))';'NEXT:in_hand(a,domino(1,3))';'NEXT:in_hand(a,domino(2,3))';'NEXT:in_hand(a,domino(3,3))';'NEXT:control(b)';'NEXT:stack(l,0)';'NEXT:stack(r,0)';'NEXT:stack(l,1)';'NEXT:stack(r,1)';'NEXT:stack(l,2)';'NEXT:stack(r,2)';'NEXT:stack(l,3)';'NEXT:stack(r,3)';'NEXT:in_hand(b,domino(0,0))';'NEXT:in_hand(b,domino(0,1))';'NEXT:in_hand(b,domino(1,1))';'NEXT:in_hand(b,domino(0,2))';'NEXT:in_hand(b,domino(1,2))';'NEXT:in_hand(b,domino(2,2))';'NEXT:in_hand(b,domino(0,3))';'NEXT:in_hand(b,domino(1,3))';'NEXT:in_hand(b,domino(2,3))';'NEXT:in_hand(b,domino(3,3))';p;n
1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0.6129032258064516;19
1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0.21052631578947367;4
1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0.7368421052631579;14
1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0.9285714285714286;13
1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0.3508771929824561;20
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0.9876543209876543;80
1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0.3125;25
1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0.15384615384615385;2
1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0.92;23
1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0.9565217391304348;22
1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0.675;54
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0.9074074074074074;49
1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0.9795918367346939;48
1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0.9098196392785571;908
1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0.00881057268722467;8
1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0.5;4
1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.5;2
1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0.29625550660792954;269
1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0.30111524163568776;81
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0.07407407407407407;4
1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0.20817843866171004;56
1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.08928571428571429;5
1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0.6;3
1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.8214285714285714;46
1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0.5;23
1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0.4782608695652174;22
1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.05357142857142857;3
1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0.48698884758364314;131
1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.16793893129770993;22
1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0.7727272727272727;17
1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0.18181818181818182;4
1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.16793893129770993;22
1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0.7727272727272727;17
1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0.18181818181818182;4
1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.2900763358778626;38
1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0.9791666666666666;47
1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.3783783783783784;14
1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.6808510638297872;32
1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.366412213740458;48
1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0.6938325991189427;630
1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0.7936507936507936;500
1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0.982;491
1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0.9857433808553971;484
1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0.008264462809917356;4
1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0.012219959266802444;6
1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0.3333333333333333;2
1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0.016;8
1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0.022222222222222223;14
1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.7857142857142857;11
1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0.45454545454545453;5
1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0.45454545454545453;5
1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0.18253968253968253;115
1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.30434782608695654;35
1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0.6869565217391305;79
1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0.05063291139240506;4
