;transfer;last activation;loss_funct;optimiser;learning rate;batch size;loss1;acc1;mae1;loss2;acc2;mae2;loss3;acc3;mae3
0;True;sigmoid;mse;nag;0.01;10;0.12490042624657455;0.0;0.2661939561367035;0.13472409844987865;0.0;0.2744576632976532;0.137710261547259;0.0;0.2809386551380157
1;True;sigmoid;mse;nag;0.01;50;0.12690301982092872;0.0;0.2683853805065155;0.13240454766356638;0.0;0.27275726199150085;0.12674356522572694;0.0;0.26714229583740234
2;True;sigmoid;mse;nag;0.01;100;0.11875823021779815;0.0;0.25939494371414185;0.12970756479810944;0.0;0.268879234790802;0.11988463824468767;0.0;0.2607625424861908
3;True;sigmoid;mse;nag;0.01;500;0.10218206320102856;0.0;0.2495291382074356;0.11110626182708602;0.0;0.2627352178096771;0.10319789682730453;0.0;0.2423776984214783
4;True;sigmoid;mse;nag;0.1;10;0.11814003972608005;0.0;0.25940707325935364;0.12427960084745107;0.0;0.26341459155082697;0.12158531215761395;0.0;0.2622549831867218
5;True;sigmoid;mse;nag;0.1;50;0.1268796798482724;0.0;0.2660297453403473;0.13069613863349985;0.0;0.2719661295413971;0.12899316003547345;0.0;0.26786699891090393
6;True;sigmoid;mse;nag;0.1;100;0.12102880197759515;0.0;0.25935402512550354;0.13324812556578286;0.0;0.2765819728374481;0.12938368656404253;0.0;0.2740955650806427
7;True;sigmoid;mse;nag;0.1;500;0.11664855613783935;0.0;0.25666487216949463;0.1269589679987319;0.0;0.2697814702987671;0.12451337495955025;0.0;0.2626124322414398
8;True;sigmoid;mse;adam;0.01;10;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527;0.4022466583556853;0.0;0.5369467735290527
9;True;sigmoid;mse;adam;0.01;50;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527
10;True;sigmoid;mse;adam;0.01;100;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697
11;True;sigmoid;mse;adam;0.01;500;0.4022466583556853;0.0;0.5369467735290527;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697
12;True;sigmoid;mse;adam;0.1;10;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527;0.4022466583556853;0.0;0.5369467735290527
13;True;sigmoid;mse;adam;0.1;50;0.4022466583556853;0.0;0.5369467735290527;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697
14;True;sigmoid;mse;adam;0.1;100;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527;0.32973479495758906;0.0;0.4630532562732697
15;True;sigmoid;mse;adam;0.1;500;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527;0.4022466583556853;0.0;0.5369467735290527
16;True;sigmoid;log_loss;nag;0.01;10;1.3830272002525053;0.0;0.4630532264709473;1.3830272253988287;0.0;0.4630532264709473;1.3830271637903364;0.0;0.4630532562732697
17;True;sigmoid;log_loss;nag;0.01;50;1.3830274122674449;0.0;0.4630532264709473;1.3830274140748369;0.0;0.4630532264709473;;0.0;
18;True;sigmoid;log_loss;nag;0.01;100;;0.0;;;0.0;;;0.0;
19;True;sigmoid;log_loss;nag;0.01;500;;0.0;;1.125496363828429;0.0;0.536967933177948;1.1263674868119729;0.0;0.5369458794593811
20;True;sigmoid;log_loss;nag;0.1;10;;0.0;;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697
21;True;sigmoid;log_loss;nag;0.1;50;;0.0;;;0.0;;1.383027176363498;0.0;0.4630532562732697
22;True;sigmoid;log_loss;nag;0.1;100;;0.0;;1.3830271637903364;0.0;0.4630532562732697;1.3830271813927628;0.0;0.4630532562732697
23;True;sigmoid;log_loss;nag;0.1;500;;0.0;;1.3830273096390122;0.0;0.4630531370639801;;0.0;
24;True;sigmoid;log_loss;adam;0.01;10;1.3830271637903364;0.0;0.4630532562732697;;0.0;;;0.0;
25;True;sigmoid;log_loss;adam;0.01;50;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697;;0.0;
26;True;sigmoid;log_loss;adam;0.01;100;1.3830271637903364;0.0;0.4630532562732697;;0.0;;;0.0;
27;True;sigmoid;log_loss;adam;0.01;500;1.3830271637903364;0.0;0.4630532562732697;;0.0;;;0.0;
28;True;sigmoid;log_loss;adam;0.1;10;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697
29;True;sigmoid;log_loss;adam;0.1;50;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697;;0.0;
30;True;sigmoid;log_loss;adam;0.1;100;1.3830271637903364;0.0;0.4630532562732697;;0.0;;1.3830271637903364;0.0;0.4630532562732697
31;True;sigmoid;log_loss;adam;0.1;500;;0.0;;1.3830271637903364;0.0;0.4630532562732697;;0.0;
32;True;linear;mse;nag;0.01;10;;0.0;;;0.0;;;0.0;
33;True;linear;mse;nag;0.01;50;;0.0;;;0.0;;;0.0;
34;True;linear;mse;nag;0.01;100;;0.0;;;0.0;;0.12334797943432077;0.0;0.2768096029758453
35;True;linear;mse;nag;0.01;500;;0.0;;0.1269080180554462;0.0;0.279150128364563;;0.0;
36;True;linear;mse;nag;0.1;10;;0.0;;;0.0;;;0.0;
37;True;linear;mse;nag;0.1;50;;0.0;;;0.0;;;0.0;
38;True;linear;mse;nag;0.1;100;;0.0;;;0.0;;;0.0;
39;True;linear;mse;nag;0.1;500;;0.0;;;0.0;;;0.0;
40;True;linear;mse;adam;0.01;10;0.11470276656595592;0.0;0.2954365313053131;0.09343943750300372;0.0;0.2539731860160828;0.1146834013478962;0.0;0.29533788561820984
41;True;linear;mse;adam;0.01;50;0.10364816768798454;0.0;0.25255727767944336;0.09145823442766993;0.0;0.2455227822065353;0.09915080004486508;0.0;0.2682669460773468
42;True;linear;mse;adam;0.01;100;0.09850540614257773;0.0;0.2608534395694733;0.09443618575738462;0.0;0.2461193948984146;0.09501198182175956;0.0;0.2507263720035553
43;True;linear;mse;adam;0.01;500;0.12352924754667535;0.0;0.2748050093650818;0.11329097866560175;0.0;0.2637230157852173;0.09122487770033733;0.0;0.2464280724525452
44;True;linear;mse;adam;0.1;10;0.11496752899339033;0.0;0.2960449159145355;0.11483103668485416;0.0;0.2949146330356598;0.1334929214882552;0.0;0.3192884624004364
45;True;linear;mse;adam;0.1;50;0.12295713570354486;0.0;0.30793318152427673;0.11551894777471013;0.0;0.2967619001865387;0.11703984903008355;0.0;0.2995518445968628
46;True;linear;mse;adam;0.1;100;0.11900202160358585;0.0;0.302749902009964;0.11493147389033788;0.0;0.2949112355709076;0.11495731624632817;0.0;0.2960280179977417
