;transfer;deepened;optimiser;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3
0;True;True;nag;0.0001;10;0.6298897930741123;0.11616954207420348;0.6199312741565555;0.11459968239068985;0.6315889128336165;0.11616954207420348;1570.0;2167.0;1388.0
1;True;False;nag;0.0001;10;0.6606181178774152;0.10204081982374193;0.6514003362910152;0.10361067205667496;0.6520401960826556;0.10204081982374193;1175.0;1069.0;836.0
2;False;True;nag;0.0001;10;0.6443033314761786;0.12087912112474443;0.6345751659836463;0.11459968239068985;0.6375660578160308;0.12087912112474443;2572.0;2987.0;2117.0
3;False;False;nag;0.0001;10;0.640976544732763;0.12087912112474443;0.6381228571783991;0.11145997047424316;0.6394771498451053;0.11616954207420348;3121.0;3147.0;2456.0
4;True;True;nag;0.0001;50;0.6443149183571245;0.11616954207420348;0.6447925183986383;0.11616954207420348;0.6345699819702556;0.11145997047424316;2525.0;2424.0;2214.0
5;True;False;nag;0.0001;50;0.6697237280137498;0.1051805317401886;0.6558991801607739;0.11145997047424316;0.6622474732541215;0.10675039142370224;1529.0;1923.0;1480.0
6;False;True;nag;0.0001;50;0.6627709827206011;0.11459968239068985;0.6547577401719625;0.1130298301577568;0.6538617388232724;0.1130298301577568;4440.0;0.0;4858.0
7;False;False;nag;0.0001;50;0.6607234491096748;0.10989011079072952;0.6543747427137905;0.11145997047424316;0.6607873167497584;0.10832025110721588;4196.0;4792.0;4251.0
8;True;True;nag;0.0001;100;0.647372474288641;0.11145997047424316;0.6519270386763233;0.11773940175771712;0.6466560682846201;0.10989011079072952;2669.0;2498.0;2524.0
9;True;False;nag;0.0001;100;0.6752220279006419;0.1051805317401886;0.6588770449629384;0.10675039142370224;0.6638337109863665;0.10361067205667496;1638.0;2124.0;2359.0
10;False;True;nag;0.0001;100;0.6896905411543615;0.08791209012269974;0.6681111405371123;0.11616954207420348;0.66917944731106;0.11145997047424316;179.0;0.0;3552.0
11;False;False;nag;0.0001;100;0.6863218347543449;0.10675039142370224;0.6838933054468882;0.10989011079072952;0.6811444111858471;0.11459968239068985;2344.0;2555.0;2852.0
12;True;True;nag;0.0001;500;0.6697048344642065;0.1051805317401886;0.6613107191711617;0.1130298301577568;0.6668256070213378;0.10989011079072952;2257.0;2995.0;2925.0
13;True;False;nag;0.0001;500;0.6872038364036117;0.10832025110721588;0.6778796601520042;0.10832025110721588;0.6792737726513969;0.11145997047424316;4103.0;4981.0;0.0
14;False;True;nag;0.0001;500;0.6916413782529965;0.097331240773201;0.6907767438252268;0.10047096014022827;0.6971842191844383;0.05180533602833748;80.0;325.0;367.0
15;False;False;nag;0.0001;500;0.6986705392271608;0.07378336042165756;0.7028418242276371;0.05180533602833748;0.6950189249481848;0.05180533602833748;892.0;970.0;1037.0
16;True;True;nag;0.001;10;0.634058226034443;0.12087912112474443;0.6209481751525795;0.1130298301577568;0.6190116170624175;0.12087912112474443;264.0;284.0;235.0
17;True;False;nag;0.001;10;0.6311328181853662;0.11459968239068985;0.6245940645785311;0.11616954207420348;0.6305627748019279;0.11459968239068985;1497.0;2079.0;998.0
18;False;True;nag;0.001;10;0.6401890616401961;0.12087912112474443;0.6258910871936912;0.11616954207420348;0.6267382614840892;0.12087912112474443;513.0;550.0;380.0
19;False;False;nag;0.001;10;0.6309343515610208;0.11930926144123075;0.6232660875964202;0.12087912112474443;0.6223957815574515;0.11773940175771712;1110.0;1508.0;880.0
20;True;True;nag;0.001;50;0.6407355682067631;0.1130298301577568;0.6091666995449755;0.12087912112474443;0.6189978078732872;0.11930926144123075;874.0;1002.0;697.0
21;True;False;nag;0.001;50;0.6506523023033441;0.10989011079072952;0.6494886497126271;0.1051805317401886;0.6478945077682028;0.1051805317401886;757.0;916.0;700.0
22;False;True;nag;0.001;50;0.6341444982838593;0.11930926144123075;0.6320880736623492;0.11616954207420348;0.6289540307488135;0.12087912112474443;1963.0;2128.0;1577.0
23;False;False;nag;0.001;50;0.6405287902433794;0.12244898080825806;0.6275525965159129;0.11616954207420348;0.629617628066843;0.12244898080825806;2109.0;2798.0;1812.0
24;True;True;nag;0.001;100;0.6231091941357407;0.1240188404917717;0.6334576200652908;0.11145997047424316;0.6211002706732818;0.1130298301577568;1721.0;1454.0;1340.0
25;True;False;nag;0.001;100;0.6590607854036185;0.10204081982374193;0.6493682206332029;0.1051805317401886;0.6435880243684657;0.10675039142370224;985.0;1198.0;1064.0
26;False;True;nag;0.001;100;0.6480781678315047;0.12244898080825806;0.6325042958910836;0.11616954207420348;0.6376961695156067;0.11145997047424316;2245.0;2754.0;2262.0
27;False;False;nag;0.001;100;0.6448114900798588;0.11616954207420348;0.6404912664527235;0.11459968239068985;0.6383773185768906;0.11930926144123075;2970.0;3044.0;2684.0
28;True;True;nag;0.001;500;0.6565663540382026;0.10989011079072952;0.6358455494397102;0.11616954207420348;0.6405183296750068;0.10989011079072952;2202.0;3132.0;1566.0
29;True;False;nag;0.001;500;0.6622419414378036;0.10204081982374193;0.6588512385845933;0.1051805317401886;0.6557068078072517;0.10204081982374193;1756.0;1492.0;1478.0
30;False;True;nag;0.001;500;0.66106387949439;0.11459968239068985;0.6565979172708101;0.11145997047424316;0.6514550594370256;0.11616954207420348;4856.0;0.0;0.0
31;False;False;nag;0.001;500;0.6704105775060609;0.11145997047424316;0.656916143568569;0.11773940175771712;0.6600554206494821;0.10989011079072952;3885.0;0.0;3740.0
