;transfer;deepened;optimiser;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
0;True;True;adam;0.1;10;0.6999378228674129;0.023547880351543427;0.6997944132499455;0.023547880351543427;0.6998512998480625;0.023547880351543427;85.0;80.0;80.0;0.01
1;True;False;adam;0.1;10;0.6924430050505573;0.023547880351543427;0.6924322033227893;0.023547880351543427;0.6925593529428754;0.023547880351543427;81.0;80.0;82.0;0.01
2;False;True;adam;0.1;10;0.6923389442300123;0.023547880351543427;0.6924200823393123;0.023547880351543427;0.6926800534713959;0.023547880351543427;80.0;80.0;80.0;0.01
3;False;False;adam;0.1;10;0.6920680959520384;0.023547880351543427;0.6928305977742002;0.023547880351543427;0.6923866249515648;0.023547880351543427;80.0;80.0;81.0;0.01
4;True;True;adam;0.1;10;0.6998997199666369;0.023547880351543427;0.699871379221253;0.023547880351543427;0.7000567573393158;0.023547880351543427;80.0;80.0;81.0;0.001
5;True;False;adam;0.1;10;0.6919450921765302;0.023547880351543427;0.6926114547945079;0.023547880351543427;0.6923344064170562;0.023547880351543427;80.0;80.0;80.0;0.001
6;False;True;adam;0.1;10;0.6921506445486467;0.023547880351543427;0.6923030584910227;0.023547880351543427;0.6921795444735552;0.023547880351543427;80.0;80.0;80.0;0.001
7;False;False;adam;0.1;10;0.6926870012021327;0.023547880351543427;0.6918497103349754;0.023547880351543427;0.6925880754574127;0.023547880351543427;81.0;81.0;82.0;0.001
8;True;True;adam;0.1;10;0.6995361794482221;0.023547880351543427;0.7000214950630391;0.023547880351543427;0.7000983634399283;0.023547880351543427;104.0;91.0;90.0;0.0001
9;True;False;adam;0.1;10;0.6926216136903928;0.023547880351543427;0.6925291149545127;0.023547880351543427;0.6927620031208596;0.023547880351543427;80.0;80.0;82.0;0.0001
10;False;True;adam;0.1;10;0.6925477300371442;0.023547880351543427;0.6920861439951922;0.023547880351543427;0.6925572891437465;0.023547880351543427;81.0;93.0;81.0;0.0001
11;False;False;adam;0.1;10;0.6919716496482562;0.023547880351543427;0.6922863043458721;0.023547880351543427;0.6923138478674357;0.023547880351543427;80.0;80.0;80.0;0.0001
12;True;True;adam;0.1;50;0.6995602054536062;0.023547880351543427;0.6996925298235667;0.023547880351543427;0.6998514344029748;0.023547880351543427;80.0;80.0;81.0;0.01
13;True;False;adam;0.1;50;0.689603918762746;0.03610675036907196;0.6923246467880776;0.023547880351543427;0.691762233360596;0.025117740035057068;86.0;80.0;82.0;0.01
14;False;True;adam;0.1;50;0.6922560569068513;0.023547880351543427;0.6921393330467739;0.023547880351543427;0.6923918606160762;0.023547880351543427;101.0;81.0;80.0;0.01
15;False;False;adam;0.1;50;0.6921731944735421;0.023547880351543427;0.6921980403468971;0.023547880351543427;0.6921182204640267;0.023547880351543427;80.0;106.0;80.0;0.01
16;True;True;adam;0.1;50;0.6994939290185925;0.023547880351543427;0.6997859091549129;0.023547880351543427;0.6995189741043318;0.023547880351543427;80.0;113.0;84.0;0.001
17;True;False;adam;0.1;50;0.6921240611577895;0.023547880351543427;0.6920688348812062;0.023547880351543427;0.6879761767349962;0.0376766100525856;80.0;84.0;85.0;0.001
18;False;True;adam;0.1;50;0.6923108895307808;0.023547880351543427;0.6922934560611073;0.023547880351543427;0.6921728351613977;0.023547880351543427;81.0;80.0;80.0;0.001
19;False;False;adam;0.1;50;0.6876685041086266;0.0376766100525856;0.6923941410317713;0.023547880351543427;0.692238444997527;0.023547880351543427;80.0;80.0;80.0;0.001
20;True;True;adam;0.1;50;0.6800448407932204;0.08320251107215881;0.6790439148712757;0.08006279170513153;0.6786121088818441;0.09576138108968736;104.0;100.0;167.0;0.0001
21;True;False;adam;0.1;50;0.69221551994701;0.023547880351543427;0.6921413541775857;0.023547880351543427;0.6920216972449885;0.025117740035057068;80.0;80.0;106.0;0.0001
22;False;True;adam;0.1;50;0.6922056322195091;0.023547880351543427;0.6715225365884263;0.08320251107215881;0.6723104543176888;0.08320251107215881;81.0;82.0;88.0;0.0001
23;False;False;adam;0.1;50;0.6842192157845669;0.05337519571185112;0.6818116965061829;0.067503921687603;0.6816890859154742;0.0565149150788784;87.0;82.0;87.0;0.0001
24;True;True;adam;0.1;100;0.6997614101487764;0.023547880351543427;0.6995784311878438;0.023547880351543427;0.6997154874367467;0.023547880351543427;82.0;80.0;80.0;0.01
25;True;False;adam;0.1;100;0.6921682780728422;0.023547880351543427;0.6923468039960278;0.023547880351543427;0.692576725497912;0.023547880351543427;80.0;80.0;100.0;0.01
26;False;True;adam;0.1;100;0.6922191635967236;0.023547880351543427;0.6928440945301925;0.023547880351543427;0.6921629354568254;0.023547880351543427;91.0;90.0;85.0;0.01
27;False;False;adam;0.1;100;0.6922724900103439;0.023547880351543427;0.6923112389244127;0.023547880351543427;0.6922611145059954;0.023547880351543427;80.0;80.0;80.0;0.01
28;True;True;adam;0.1;100;0.6995070295955172;0.023547880351543427;0.6995837124213693;0.10204081982374193;0.6977385316201993;0.03139717504382133;80.0;83.0;85.0;0.001
29;True;False;adam;0.1;100;0.6752754626693306;0.08320251107215881;0.6751644901428342;0.07378336042165756;0.6750023323849569;0.08320251107215881;92.0;87.0;103.0;0.001
30;False;True;adam;0.1;100;0.6864583535321653;0.04552590101957321;0.6812814442291739;0.0941915214061737;0.6921376229455369;0.023547880351543427;82.0;105.0;81.0;0.001
